fund_name,amc,category,aum_crore,expense_ratio,returns_1yr,returns_3yr,returns_5yr,risk_level,min_investment,fund_age_years,holdings,description
SBI Bluechip Fund,SBI Mutual Fund,Equity - Large Cap,28500,1.58,15.2,12.8,10.5,Moderate,5000,14,"HDFC Bank, ICICI Bank, Reliance Industries, Infosys, TCS","SBI Bluechip Fund is a large cap equity mutual fund from SBI Mutual Fund. It invests primarily in blue chip companies with strong fundamentals and stable growth prospects."
Axis Long Term Equity Fund,Axis Mutual Fund,Equity - ELSS,30200,1.65,18.7,15.6,13.2,Moderate-High,500,13,"HDFC Bank, Avenue Supermarts, Bajaj Finance, Tata Consultancy Services, Reliance Industries","Axis Long Term Equity Fund is an ELSS (tax-saving) fund that provides tax benefits under Section 80C. It invests in a diversified portfolio of stocks across market capitalizations with a focus on long-term capital appreciation."
ICICI Prudential Technology Fund,ICICI Prudential Mutual Fund,Equity - Sectoral,3560,1.82,25.8,22.5,18.9,High,5000,8,"Infosys, TCS, HCL Technologies, Tech Mahindra, Wipro","ICICI Prudential Technology Fund is a sectoral fund that invests primarily in technology and technology-related companies. It aims to benefit from the growth potential of the Indian IT and technology sector."
Nippon India Small Cap Fund,Nippon India Mutual Fund,Equity - Small Cap,25800,1.88,32.5,26.8,21.3,Very High,1000,12,"Sonata Software, KPIT Technologies, Cyient, Gujarat Ambuja Exports, Navin Fluorine","Nippon India Small Cap Fund invests in small-cap companies with high growth potential. It focuses on identifying promising businesses at an early stage of growth that can deliver superior returns over the long term."
HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Equity - Mid Cap,34500,1.75,22.4,18.6,15.8,High,5000,16,"Voltas, Federal Bank, Ashok Leyland, Crompton Greaves, Bharat Forge","HDFC Mid-Cap Opportunities Fund focuses on investing in mid-sized companies with strong growth potential. These companies are typically at a stage where they are expanding their business and market share."
IDFC Ultra Short Term Fund,IDFC Mutual Fund,Debt - Ultra Short Duration,8900,0.35,6.8,5.9,6.1,Low,5000,5,"Government Securities, Corporate Bonds, Commercial Papers, Certificate of Deposits","IDFC Ultra Short Term Fund is a debt fund that invests in a mix of short-term debt and money market instruments. It aims to provide reasonable returns while maintaining high liquidity and lower interest rate risk."
Aditya Birla Sun Life Corporate Bond Fund,Aditya Birla Sun Life Mutual Fund,Debt - Corporate Bond,12700,0.68,7.5,7.2,7.8,Low-Moderate,1000,12,"Corporate Bonds, Government Securities, Money Market Instruments","Aditya Birla Sun Life Corporate Bond Fund predominantly invests in AA+ and above rated corporate bonds. It aims to generate reasonable returns with lower risk compared to equity funds."
SBI Balanced Advantage Fund,SBI Mutual Fund,Hybrid - Dynamic Asset Allocation,18500,1.42,14.5,11.2,9.8,Moderate,5000,4,"Equity: HDFC Bank, Reliance, Infosys; Debt: G-Secs, Corporate Bonds","SBI Balanced Advantage Fund dynamically manages allocation between equity and debt based on market conditions. It aims to provide the best of both worlds - equity returns during market uptrends and debt stability during downtrends."
ICICI Prudential Value Discovery Fund,ICICI Prudential Mutual Fund,Equity - Value,22400,1.72,16.8,13.5,11.6,Moderate-High,5000,18,"ITC, SBI, NTPC, Coal India, ONGC","ICICI Prudential Value Discovery Fund follows a value investing strategy. It identifies undervalued stocks with strong fundamentals that are trading below their intrinsic value and have potential for appreciation."
Kotak Emerging Equity Fund,Kotak Mahindra Mutual Fund,Equity - Mid & Small Cap,19800,1.79,28.6,23.2,19.4,High,5000,10,"Astral Poly Technik, Supreme Industries, Dixon Technologies, Aarti Industries, PI Industries","Kotak Emerging Equity Fund invests in mid and small-cap companies that are emerging leaders in their sectors. It focuses on businesses with scalable models and long runway for growth." 
