fund_name,fund_house,category,sub_category,asset_class,fund_type,sector
ICICI Prudential Technology Fund,ICICI Prudential,Equity,Sectoral,Equity,Open Ended,Technology
SBI Blue Chip Fund,SBI Mutual Fund,Equity,Large Cap,Equity,Open Ended,Diversified
HDFC Top 100 Fund,HDFC Mutual Fund,Equity,Large Cap,Equity,Open Ended,Diversified
Axis Bluechip Fund,Axis Mutual Fund,Equity,Large Cap,Equity,Open Ended,Diversified
Mirae Asset Large Cap Fund,Mirae Asset,Equity,Large Cap,Equity,Open Ended,Diversified
Kotak Emerging Equity Fund,Kotak Mahindra,Equity,Mid Cap,Equity,Open Ended,Diversified
ICICI Prudential Value Discovery Fund,ICICI Prudential,Equity,Value,Equity,Open Ended,Diversified
SBI Small Cap Fund,SBI Mutual Fund,Equity,Small Cap,Equity,Open Ended,Diversified
Nippon India Small Cap Fund,Nippon India,Equity,Small Cap,Equity,Open Ended,Diversified
Aditya Birla Sun Life Digital India Fund,Aditya Birla Sun Life,Equity,Sectoral,Equity,Open Ended,Technology
HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Equity,Mid Cap,Equity,Open Ended,Diversified
DSP Midcap Fund,DSP,Equity,Mid Cap,Equity,Open Ended,Diversified
Tata Digital India Fund,Tata Mutual Fund,Equity,Sectoral,Equity,Open Ended,Technology
Axis Midcap Fund,Axis Mutual Fund,Equity,Mid Cap,Equity,Open Ended,Diversified
ICICI Prudential Banking and Financial Services Fund,ICICI Prudential,Equity,Sectoral,Equity,Open Ended,Banking & Financial Services
SBI Banking & Financial Services Fund,SBI Mutual Fund,Equity,Sectoral,Equity,Open Ended,Banking & Financial Services
Mirae Asset Emerging Bluechip Fund,Mirae Asset,Equity,Large & Mid Cap,Equity,Open Ended,Diversified
Kotak Standard Multicap Fund,Kotak Mahindra,Equity,Multi Cap,Equity,Open Ended,Diversified
Aditya Birla Sun Life Frontline Equity Fund,Aditya Birla Sun Life,Equity,Large Cap,Equity,Open Ended,Diversified
UTI Nifty Index Fund,UTI,Equity,Index Fund,Equity,Open Ended,Diversified
HDFC Index Fund-NIFTY 50 Plan,HDFC Mutual Fund,Equity,Index Fund,Equity,Open Ended,Diversified
SBI Nifty Index Fund,SBI Mutual Fund,Equity,Index Fund,Equity,Open Ended,Diversified
ICICI Prudential Nifty Index Fund,ICICI Prudential,Equity,Index Fund,Equity,Open Ended,Diversified
HDFC Hybrid Equity Fund,HDFC Mutual Fund,Hybrid,Aggressive Hybrid,Hybrid,Open Ended,Diversified
ICICI Prudential Equity & Debt Fund,ICICI Prudential,Hybrid,Aggressive Hybrid,Hybrid,Open Ended,Diversified
SBI Equity Hybrid Fund,SBI Mutual Fund,Hybrid,Aggressive Hybrid,Hybrid,Open Ended,Diversified
Kotak Equity Hybrid Fund,Kotak Mahindra,Hybrid,Aggressive Hybrid,Hybrid,Open Ended,Diversified
Axis Bluechip Fund - Direct Plan,Axis Mutual Fund,Equity,Large Cap,Equity,Open Ended,Diversified
HDFC Balanced Advantage Fund,HDFC Mutual Fund,Hybrid,Dynamic Asset Allocation,Hybrid,Open Ended,Diversified
ICICI Prudential Balanced Advantage Fund,ICICI Prudential,Hybrid,Dynamic Asset Allocation,Hybrid,Open Ended,Diversified
ICICI Prudential Multi-Asset Fund,ICICI Prudential,Hybrid,Multi Asset Allocation,Hybrid,Open Ended,Diversified
SBI Magnum Multi Cap Fund,SBI Mutual Fund,Equity,Multi Cap,Equity,Open Ended,Diversified
HDFC Small Cap Fund,HDFC Mutual Fund,Equity,Small Cap,Equity,Open Ended,Diversified
Axis Small Cap Fund,Axis Mutual Fund,Equity,Small Cap,Equity,Open Ended,Diversified
ICICI Prudential Liquid Fund,ICICI Prudential,Debt,Liquid,Debt,Open Ended,Debt
SBI Liquid Fund,SBI Mutual Fund,Debt,Liquid,Debt,Open Ended,Debt
HDFC Liquid Fund,HDFC Mutual Fund,Debt,Liquid,Debt,Open Ended,Debt
Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life,Debt,Liquid,Debt,Open Ended,Debt
IDFC Cash Fund,IDFC,Debt,Liquid,Debt,Open Ended,Debt
ICICI Prudential Short Term Fund,ICICI Prudential,Debt,Short Duration,Debt,Open Ended,Debt
HDFC Short Term Debt Fund,HDFC Mutual Fund,Debt,Short Duration,Debt,Open Ended,Debt
SBI Short Term Debt Fund,SBI Mutual Fund,Debt,Short Duration,Debt,Open Ended,Debt
Aditya Birla Sun Life Short Term Fund,Aditya Birla Sun Life,Debt,Short Duration,Debt,Open Ended,Debt
Axis Gold Fund,Axis Mutual Fund,Commodity,Gold,Commodity,Open Ended,Gold
SBI Gold Fund,SBI Mutual Fund,Commodity,Gold,Commodity,Open Ended,Gold
HDFC Gold Fund,HDFC Mutual Fund,Commodity,Gold,Commodity,Open Ended,Gold
UTI Gold Exchange Traded Fund,UTI,Commodity,Gold ETF,Commodity,Exchange Traded Fund,Gold
Nippon India ETF Gold BeES,Nippon India,Commodity,Gold ETF,Commodity,Exchange Traded Fund,Gold
